Tensión (MPa),Deformación (%),Dureza Brinell,Dureza Rockwell,Dureza Vickers,Tenacidad (MJ/m3),Módulo de Young (GPa),Límite elástico (MPa),Carga máxima (kN),Fuerza de fractura (kN),Alargamiento (%),Reducción de área (%),Velocidad de ensayo (mm/min),Espesor (mm),Diámetro (mm),Ancho de muestra (mm),Altura de muestra (mm),Temperatura (°C),Tiempo de ensayo (s),Peso (kg),Energía absorbida (J),Fatiga (ciclos),Coef. de fricción,Conductividad térmica (W/mK),Densidad (g/cm3),Calor específico (J/kgK),Resistencia a la tracción (MPa),Índice de resiliencia,Viscosidad (Pa·s),Índice de impacto,Índice de fluencia,Presión de trabajo (MPa),Presión de rotura (MPa),Tiempo hasta falla (h),Índice de rigidez,Índice de elasticidad,Índice de eficiencia,Índice de fatiga,Índice de absorción,Índice de desgaste,Índice térmico,Coef. de expansión,Índice de conductividad,Índice de resistencia al corte,Carga de pandeo (N),Torque máximo (Nm),Índice de eficiencia térmica,Índice de módulo de rotura,Coef. de seguridad
374.6,185.21,261.78,672.74,572.04,393.7,648.29,38.9,720.3,913.59,373.7,533.08,654.34,974.32,73.27,499.72,4.5,812.97,645.73,386.62,730.03,772.52,764.66,523.29,685.56,92.46,60.66,864.65,745.9,201.11,638.18,378.32,26.76,509.07,533.45,609.43,916.6,213.08,270.06,133.29,298.98,924.02,946.7,37.44,583.33,330.0,407.62,633.79,686.74
950.72,541.95,247.05,796.7,805.45,473.49,172.47,186.85,687.31,525.41,332.98,137.99,80.12,17.27,89.57,746.77,0.43,678.57,402.48,204.73,184.59,481.2,6.62,184.27,467.62,60.85,203.29,26.39,262.14,81.44,459.35,42.04,8.06,306.26,536.8,39.0,950.22,271.69,663.71,131.07,94.91,791.83,896.42,174.19,887.61,816.76,431.47,312.62,412.62
732.02,872.96,906.26,250.54,760.18,854.56,872.41,831.26,95.84,724.94,176.24,591.28,242.41,947.66,652.01,562.71,472.32,889.09,471.96,65.08,346.71,788.98,477.1,281.35,55.8,604.23,491.31,911.01,654.18,339.59,964.5,762.78,224.45,931.7,759.74,612.3,4.51,619.17,371.42,929.94,126.45,102.75,235.57,251.71,762.92,994.38,197.2,835.87,280.41
598.7,732.25,249.62,624.91,153.98,340.07,613.15,766.79,922.58,436.1,607.31,314.85,773.7,368.74,486.99,83.39,29.39,449.39,716.75,79.58,663.31,73.6,793.93,516.05,918.52,966.12,368.21,305.81,699.23,187.92,219.06,573.2,799.34,228.37,817.05,89.76,317.14,745.37,219.03,94.87,180.75,776.93,262.83,890.48,867.42,840.78,9.65,40.67,615.9
156.1,806.58,272.02,571.79,149.33,869.66,157.29,350.71,568.52,630.07,476.68,52.44,528.73,10.19,790.44,185.66,974.54,893.9,876.32,760.07,482.14,191.67,630.08,735.04,980.33,502.77,410.97,508.27,345.18,526.99,587.9,814.89,904.76,419.98,337.26,710.37,837.39,751.96,408.69,4.18,203.73,844.02,981.44,611.29,59.52,346.21,349.42,691.49,740.3
156.08,658.82,759.42,832.85,268.25,88.23,962.34,376.87,363.79,340.64,865.71,948.66,927.98,689.19,916.28,219.41,222.14,865.79,272.29,444.86,738.6,551.58,474.12,94.74,431.1,51.61,781.47,132.38,474.97,686.88,700.24,75.64,391.83,959.5,801.58,390.14,536.49,8.74,763.29,389.09,242.34,905.31,236.64,958.3,318.19,711.28,148.5,828.65,254.66
58.18,692.31,449.79,906.1,361.14,776.82,518.41,533.6,756.56,301.23,32.21,641.53,428.81,980.54,388.43,257.94,472.72,438.47,342.14,726.21,961.21,947.09,644.68,296.77,613.7,221.3,14.78,902.26,403.83,490.97,825.58,621.27,563.24,318.79,814.23,837.71,807.53,651.89,475.85,103.94,255.53,543.74,953.48,339.71,318.78,533.97,421.78,646.46,299.47
866.19,849.21,776.73,12.26,408.51,847.56,72.99,0.34,257.44,578.27,643.9,876.93,869.83,965.63,596.45,565.45,61.23,381.21,930.75,682.32,116.64,74.85,906.96,926.63,450.35,244.87,660.53,749.86,947.35,660.64,407.03,247.78,706.08,644.63,234.2,942.53,853.34,630.77,299.93,863.05,455.77,703.44,649.79,401.8,657.08,786.54,833.84,192.07,640.33
601.15,249.74,65.46,674.05,679.73,181.9,626.87,241.32,693.54,498.18,762.97,676.09,449.01,161.02,500.75,504.02,522.1,932.82,578.55,135.45,709.6,43.18,566.43,429.18,321.95,337.92,0.21,924.16,320.02,364.98,686.95,903.28,952.94,316.8,716.98,417.17,442.68,517.7,831.89,922.7,509.62,762.26,50.2,719.78,448.67,153.18,114.84,285.05,965.23
708.1,489.48,487.62,51.93,56.77,430.4,253.27,208.31,39.81,579.58,759.51,357.05,979.25,181.33,981.61,203.24,380.02,715.19,179.04,142.97,230.42,156.64,799.81,938.88,77.41,43.7,63.15,683.26,183.4,28.02,303.27,110.0,912.94,110.76,186.62,460.61,359.05,379.27,881.66,482.48,308.95,688.67,335.79,577.94,777.49,638.17,91.84,514.95,213.95
20.68,221.29,33.71,548.9,34.77,165.58,803.71,250.56,839.42,286.73,886.09,512.74,959.84,565.58,831.1,67.65,44.76,928.25,663.73,755.37,414.54,641.19,980.74,991.4,456.12,904.9,408.35,184.78,365.66,974.07,435.53,843.08,57.29,627.58,93.14,590.19,455.49,797.46,433.31,425.53,907.31,646.87,476.21,527.93,384.49,773.69,902.11,329.52,654.28
969.91,987.67,62.75,287.7,391.97,706.63,817.84,805.93,448.23,367.02,729.06,675.78,329.2,637.34,911.75,171.52,335.19,797.0,990.76,721.3,32.96,399.05,705.6,526.71,818.4,515.61,840.96,308.34,669.55,819.43,895.64,88.65,248.24,916.04,574.59,197.21,652.83,343.95,374.75,539.09,553.18,547.6,833.11,575.61,221.69,761.26,745.17,5.02,906.6
832.46,944.06,906.45,306.85,697.19,535.39,978.95,279.75,636.73,83.99,927.82,960.26,885.94,739.44,254.41,984.38,391.5,609.34,823.47,378.09,135.99,825.57,573.37,288.12,17.13,670.96,145.08,486.9,697.39,73.51,949.91,25.19,49.24,452.62,908.66,927.34,367.22,230.09,612.74,226.27,787.5,479.25,328.65,584.18,291.02,963.6,53.16,40.77,462.02
212.42,39.52,139.33,353.02,193.52,635.36,501.92,191.6,221.32,52.37,332.72,253.74,847.63,181.13,772.55,468.6,989.92,115.94,745.77,77.51,319.85,72.03,37.58,790.8,582.15,67.27,554.67,607.3,924.06,449.23,718.85,235.14,616.58,626.21,35.56,433.06,775.01,310.16,58.07,298.04,924.25,996.13,310.65,765.76,182.55,58.51,79.66,767.79,316.91
181.91,705.6,532.47,621.33,641.54,196.57,455.01,504.31,677.11,253.53,503.26,874.99,210.76,959.01,265.55,867.36,207.97,291.55,208.13,12.2,342.05,196.49,374.54,159.39,880.78,54.21,678.54,926.47,881.77,635.06,374.41,333.11,710.52,608.94,826.52,166.9,904.0,439.7,691.35,101.07,163.22,337.63,920.27,668.12,197.97,345.84,684.96,83.8,666.9
183.49,925.26,411.15,334.12,259.9,211.82,753.5,865.66,772.26,74.34,14.18,924.09,624.33,638.78,208.82,848.77,544.83,968.85,876.15,288.23,899.6,300.1,565.49,252.12,217.63,586.51,229.61,384.01,288.39,190.68,820.08,626.57,308.35,415.15,506.52,762.76,282.38,214.14,782.31,446.51,427.93,88.36,79.13,957.32,216.92,476.61,370.41,928.03,31.53
304.31,180.66,347.41,732.73,886.1,41.59,132.56,241.43,473.27,103.86,7.06,670.45,72.78,847.06,944.27,511.57,987.32,319.49,525.84,9.32,741.84,626.77,797.23,784.9,183.34,887.31,512.38,703.1,455.22,578.03,25.96,131.81,853.87,614.94,860.91,219.23,964.99,607.61,397.5,611.73,433.27,765.06,551.57,947.97,16.19,309.83,724.2,442.79,360.22
524.8,567.99,899.84,404.59,895.7,322.14,546.96,78.63,617.77,812.95,240.2,931.27,836.73,540.11,19.4,706.72,792.04,93.35,889.3,230.15,972.19,685.2,438.16,433.7,772.3,528.53,911.42,961.01,747.29,533.7,102.84,437.39,452.87,259.39,843.49,143.61,622.76,884.22,174.7,930.23,354.54,213.9,504.29,421.98,716.12,309.86,404.51,758.21,258.05
432.0,915.5,21.92,68.45,297.36,559.79,546.29,356.47,456.38,38.97,100.9,397.94,174.63,414.34,965.39,192.83,993.37,707.58,329.89,419.56,599.11,124.29,960.06,201.62,255.16,877.83,512.28,152.46,916.55,208.34,661.41,204.34,998.38,378.1,875.3,562.92,878.18,595.5,28.92,739.1,9.0,532.74,57.43,35.82,399.66,176.21,967.79,125.59,224.7
291.3,34.04,663.82,783.78,230.07,857.95,89.56,747.68,894.1,658.98,260.29,953.02,70.91,977.19,149.35,688.43,968.3,734.03,62.14,121.5,241.79,943.81,271.87,651.16,192.07,811.01,157.41,862.72,337.23,141.3,291.32,855.32,0.5,442.37,768.9,671.53,104.01,446.72,637.28,723.09,815.99,95.89,87.85,11.17,22.77,812.97,694.45,926.51,179.84
611.89,697.45,963.4,285.83,411.36,666.96,418.04,550.74,497.92,272.63,177.13,702.81,400.28,582.16,819.46,272.46,489.59,285.53,476.03,104.37,327.72,341.11,744.59,732.79,378.05,75.95,627.85,420.76,444.5,758.99,951.39,45.06,109.58,864.02,843.01,569.61,251.57,796.89,269.07,308.07,111.65,619.32,382.03,123.28,370.07,908.08,46.71,33.91,737.09
139.58,297.42,560.21,432.82,240.61,435.45,853.3,816.81,841.82,871.56,28.62,42.1,576.96,866.89,275.99,832.08,696.41,297.74,269.91,896.45,319.9,713.2,419.09,125.16,392.56,202.04,592.24,732.45,899.49,322.65,436.12,356.0,301.86,348.4,176.11,656.54,321.09,748.06,463.94,888.3,995.48,944.01,134.25,74.99,905.38,82.42,330.57,42.23,955.1
292.22,924.4,936.83,685.48,672.42,953.12,856.17,959.6,801.37,485.04,909.31,906.88,854.93,953.3,350.77,83.82,110.53,468.95,715.26,585.51,326.56,524.26,486.04,277.05,874.11,657.74,27.05,293.61,358.55,244.12,429.42,631.41,25.61,635.17,303.92,115.61,302.89,367.12,386.42,946.96,772.98,722.73,478.12,373.43,511.29,154.98,563.65,54.68,384.83
366.43,971.06,52.35,332.52,826.08,719.27,99.33,792.68,410.56,305.65,8.32,484.52,974.25,675.39,216.84,773.16,441.2,21.89,957.11,934.46,673.0,222.84,802.52,221.35,618.48,443.56,90.69,334.05,480.56,737.9,678.11,913.1,782.36,213.48,242.56,476.07,171.94,604.19,174.97,932.27,580.05,214.61,608.93,52.97,986.75,228.53,141.96,103.5,49.2
456.12,944.27,418.85,56.68,673.12,930.17,90.81,603.84,230.16,517.69,736.11,460.38,439.55,548.98,585.56,100.03,809.04,789.34,691.01,345.89,530.85,846.24,296.29,379.92,406.02,290.77,156.87,27.23,904.51,736.1,767.59,868.01,52.87,252.64,742.45,357.08,868.21,729.87,508.42,38.9,154.69,971.14,691.43,624.95,540.01,509.04,2.62,486.88,718.94
785.2,474.27,260.23,373.98,824.37,527.64,262.77,493.39,406.14,382.02,152.23,566.51,60.54,3.61,348.16,881.2,505.38,317.16,886.95,677.18,385.49,818.26,96.9,763.47,534.43,418.69,136.38,971.41,802.26,276.47,475.61,895.2,749.0,648.46,153.73,973.37,418.67,245.54,459.65,604.39,515.44,307.16,546.52,190.26,962.8,791.19,79.4,788.3,538.25
199.75,862.06,730.85,944.45,397.05,258.98,874.78,40.17,826.23,564.34,912.24,149.47,749.14,40.12,657.43,304.27,702.73,853.78,453.08,204.77,149.17,396.13,520.3,713.74,953.97,445.26,259.54,813.47,243.51,872.58,214.08,62.95,52.66,762.33,182.31,49.72,963.13,366.34,624.19,643.26,261.18,436.67,379.72,514.01,201.88,71.55,524.31,285.02,723.67
514.28,844.56,981.3,641.77,156.4,52.92,128.99,984.32,227.71,114.62,892.81,469.22,565.22,200.93,15.75,654.43,745.78,802.65,771.66,618.38,22.24,588.65,528.84,662.56,113.3,910.56,454.16,94.01,324.86,688.28,773.33,840.94,252.8,462.17,878.98,298.36,583.51,105.87,251.96,295.14,252.4,498.17,129.85,103.17,290.01,636.85,632.29,745.8,647.94
592.46,319.17,256.6,671.51,737.98,726.11,720.02,383.54,524.48,996.99,653.94,831.14,447.95,186.09,64.47,487.55,253.54,661.44,843.06,129.67,218.91,257.9,797.19,6.38,207.79,103.55,371.78,999.51,353.02,345.83,320.42,779.93,841.29,335.17,705.91,941.87,138.48,987.68,214.72,992.41,829.55,990.72,247.56,827.75,700.0,149.42,92.99,774.08,905.45
46.55,828.93,654.21,632.32,360.54,121.39,101.26,152.31,806.12,425.61,672.27,15.58,309.34,254.83,99.75,366.37,875.71,324.94,710.9,2.18,107.56,689.88,968.32,142.23,962.53,279.8,890.66,605.06,912.75,427.55,175.19,902.44,951.1,910.28,875.39,983.5,545.95,85.97,814.36,291.26,380.71,68.98,419.48,779.98,986.82,971.46,665.19,908.29,140.53
